Block_Group,FIPS_Code,Formatted_FIPS,Probability that two individuals chosen at random would be of di
"421010125001, PA",421010125001,421010125001,37.71
"421010293001, PA",421010293001,421010293001,59.95
"421010317005, PA",421010317005,421010317005,65.85
"421010261001, PA",421010261001,421010261001,4.97
"421010376001, PA",421010376001,421010376001,73
"421010282002, PA",421010282002,421010282002,32.29
"421010256001, PA",421010256001,421010256001,51.03
"421010293002, PA",421010293002,421010293002,66.57
"421010141001, PA",421010141001,421010141001,68.3
"421010256003, PA",421010256003,421010256003,50.34
"421010362023, PA",421010362023,421010362023,9.61
"421010333002, PA",421010333002,421010333002,56.85
"421010340001, PA",421010340001,421010340001,33.42
"421010347013, PA",421010347013,421010347013,39.03
"421010302001, PA",421010302001,421010302001,59.6
"421010357022, PA",421010357022,421010357022,27.87
"421010003001, PA",421010003001,421010003001,48.03
"421010377002, PA",421010377002,421010377002,64.17
"421010348021, PA",421010348021,421010348021,61.34
"421010272003, PA",421010272003,421010272003,50.15
"421010161001, PA",421010161001,421010161001,24.87
"421010199004, PA",421010199004,421010199004,50.89
"421010329002, PA",421010329002,421010329002,65.43
"421010348011, PA",421010348011,421010348011,9.3
"421010362022, PA",421010362022,421010362022,5.75
"421010280002, PA",421010280002,421010280002,1.84
"421010323003, PA",421010323003,421010323003,56.33
"421010157003, PA",421010157003,421010157003,60.26
"421010363022, PA",421010363022,421010363022,38.86
"421010260001, PA",421010260001,421010260001,28.81
"421010336003, PA",421010336003,421010336003,65.79
"421010146001, PA",421010146001,421010146001,63.56
"421010339002, PA",421010339002,421010339002,66.04
"421010333003, PA",421010333003,421010333003,55.6
"421010334002, PA",421010334002,421010334002,47.36
"421010373001, PA",421010373001,421010373001,9.47
"421010062004, PA",421010062004,421010062004,21.53
"421010203002, PA",421010203002,421010203002,23.46
"421010319005, PA",421010319005,421010319005,63.65
"421010337011, PA",421010337011,421010337011,51.15
"421010307003, PA",421010307003,421010307003,64.94
"421010349004, PA",421010349004,421010349004,50.51
"421010356014, PA",421010356014,421010356014,26.58
"421010341004, PA",421010341004,421010341004,38.58
"421010139003, PA",421010139003,421010139003,58.58
"421010247002, PA",421010247002,421010247002,11.64
"421010325003, PA",421010325003,421010325003,63.38
"421010345012, PA",421010345012,421010345012,56
"421010389003, PA",421010389003,421010389003,19.66
"421010066001, PA",421010066001,421010066001,6.98
"421010245003, PA",421010245003,421010245003,8.65
"421010132002, PA",421010132002,421010132002,53.05
"421010294002, PA",421010294002,421010294002,59.89
"421010239002, PA",421010239002,421010239002,75.67
"421010276001, PA",421010276001,421010276001,0
"421010272002, PA",421010272002,421010272002,26.31
"421010331021, PA",421010331021,421010331021,29.93
"421010105003, PA",421010105003,421010105003,25.64
"421010262004, PA",421010262004,421010262004,9.34
"421010387001, PA",421010387001,421010387001,36.18
"421010215002, PA",421010215002,421010215002,20.85
"421010105002, PA",421010105002,421010105002,20.57
"421010362032, PA",421010362032,421010362032,17.95
"421010179005, PA",421010179005,421010179005,49.67
"421010243002, PA",421010243002,421010243002,26.89
"421010036001, PA",421010036001,421010036001,66.83
"421010098022, PA",421010098022,421010098022,9.96
"421010236002, PA",421010236002,421010236002,50.94
"421010152002, PA",421010152002,421010152002,16.39
"421010294003, PA",421010294003,421010294003,65.83
"421010245002, PA",421010245002,421010245002,38.52
"421010285001, PA",421010285001,421010285001,63.74
"421010165003, PA",421010165003,421010165003,58.4
"421010201011, PA",421010201011,421010201011,18.59
"421010275001, PA",421010275001,421010275001,51.3
"421010308003, PA",421010308003,421010308003,73.25
"421010290003, PA",421010290003,421010290003,56.03
"421010137005, PA",421010137005,421010137005,50.55
"421010190003, PA",421010190003,421010190003,46.93
"421010004022, PA",421010004022,421010004022,34.49
"421010325004, PA",421010325004,421010325004,39.33
"421010067007, PA",421010067007,421010067007,30.97
"421010286001, PA",421010286001,421010286001,48.69
"421010207003, PA",421010207003,421010207003,24.65
"421010335003, PA",421010335003,421010335003,72.81
"421010082005, PA",421010082005,421010082005,21.6
"421010362011, PA",421010362011,421010362011,19.81
"421010332001, PA",421010332001,421010332001,38.95
"421010329001, PA",421010329001,421010329001,55.2
"421010315021, PA",421010315021,421010315021,47.72
"421010330004, PA",421010330004,421010330004,61.37
"421010341003, PA",421010341003,421010341003,35.06
"421010217004, PA",421010217004,421010217004,12.49
"421010240002, PA",421010240002,421010240002,61.27
"421010362021, PA",421010362021,421010362021,48.43
"421010156001, PA",421010156001,421010156001,54.17
"421010131001, PA",421010131001,421010131001,47.54
"421010382002, PA",421010382002,421010382002,40.06
"421010237004, PA",421010237004,421010237004,49.53
"421010091002, PA",421010091002,421010091002,66.73
"421010111002, PA",421010111002,421010111002,15.14
"421010252006, PA",421010252006,421010252006,17.85
"421010365013, PA",421010365013,421010365013,65.74
"421010151021, PA",421010151021,421010151021,8.84
"421010209003, PA",421010209003,421010209003,33.32
"421010001001, PA",421010001001,421010001001,35.99
"421010291002, PA",421010291002,421010291002,57.84
"421010214001, PA",421010214001,421010214001,44.85
"421010380002, PA",421010380002,421010380002,56.4
"421010215003, PA",421010215003,421010215003,19.45
"421010100004, PA",421010100004,421010100004,36
"421010389002, PA",421010389002,421010389002,8.26
"421010278003, PA",421010278003,421010278003,18.37
"421010362013, PA",421010362013,421010362013,21.94
"421010341005, PA",421010341005,421010341005,16.31
"421010257002, PA",421010257002,421010257002,57.01
"421010190005, PA",421010190005,421010190005,56.85
"421010336002, PA",421010336002,421010336002,32.54
"421010340002, PA",421010340002,421010340002,68.45
"421010268001, PA",421010268001,421010268001,44.49
"421010198001, PA",421010198001,421010198001,41.48
"421010255003, PA",421010255003,421010255003,61.8
"421010246003, PA",421010246003,421010246003,18.69
"421010263024, PA",421010263024,421010263024,11.28
"421010388004, PA",421010388004,421010388004,55.59
"421010281001, PA",421010281001,421010281001,20.15
"421010292001, PA",421010292001,421010292001,59.01
"421010140001, PA",421010140001,421010140001,51.37
"421010357012, PA",421010357012,421010357012,69.78
"421010383003, PA",421010383003,421010383003,51.82
"421010321001, PA",421010321001,421010321001,66.1
"421010349003, PA",421010349003,421010349003,44.54
"421010372001, PA",421010372001,421010372001,24.55
"421010337021, PA",421010337021,421010337021,67.18
"421010337012, PA",421010337012,421010337012,25.07
"421010314023, PA",421010314023,421010314023,71.08
"421010362024, PA",421010362024,421010362024,50.4
"421010163004, PA",421010163004,421010163004,33.71
"421010004011, PA",421010004011,421010004011,62.39
"421010147002, PA",421010147002,421010147002,61.64
"421010238002, PA",421010238002,421010238002,58.41
"421010379006, PA",421010379006,421010379006,1.7
"421010169013, PA",421010169013,421010169013,7.42
"421010291003, PA",421010291003,421010291003,65.29
"421010122031, PA",421010122031,421010122031,72.47
"421010003002, PA",421010003002,421010003002,45.95
"421010268004, PA",421010268004,421010268004,24.56
"421010067001, PA",421010067001,421010067001,36.92
"421010363033, PA",421010363033,421010363033,27.94
"421010141002, PA",421010141002,421010141002,46.02
"421010162002, PA",421010162002,421010162002,55.24
"421010278004, PA",421010278004,421010278004,12.95
"421010308004, PA",421010308004,421010308004,64.94
"421010243004, PA",421010243004,421010243004,52.7
"421010060004, PA",421010060004,421010060004,35.13
"421010202001, PA",421010202001,421010202001,33.28
"421010246001, PA",421010246001,421010246001,41.6
"421010321003, PA",421010321003,421010321003,65.06
"421010317004, PA",421010317004,421010317004,73.71
"421010288003, PA",421010288003,421010288003,78.06
"421010270001, PA",421010270001,421010270001,63.48
"421010338002, PA",421010338002,421010338002,56.84
"421010336004, PA",421010336004,421010336004,52.53
"421010302004, PA",421010302004,421010302004,49.33
"421010122011, PA",421010122011,421010122011,66.54
"421010336001, PA",421010336001,421010336001,58.4
"421010283004, PA",421010283004,421010283004,20.02
"421010298004, PA",421010298004,421010298004,67.3
"421010331024, PA",421010331024,421010331024,15
"421010248002, PA",421010248002,421010248002,6.87
"421010083011, PA",421010083011,421010083011,17.27
"421010203001, PA",421010203001,421010203001,16.49
"421010334001, PA",421010334001,421010334001,25.98
"421010160003, PA",421010160003,421010160003,25.59
"421010114001, PA",421010114001,421010114001,0
"421010074002, PA",421010074002,421010074002,31.4
"421010237001, PA",421010237001,421010237001,59.59
"421010299001, PA",421010299001,421010299001,55.88
"421010139002, PA",421010139002,421010139002,18.85
"421010367002, PA",421010367002,421010367002,58.42
"421010010023, PA",421010010023,421010010023,27.01
"421010122041, PA",421010122041,421010122041,44.92
"421010176023, PA",421010176023,421010176023,21.39
"421010029003, PA",421010029003,421010029003,47.46
"421010239001, PA",421010239001,421010239001,60.83
"421010153004, PA",421010153004,421010153004,61.35
"421010145001, PA",421010145001,421010145001,42.81
"421010313002, PA",421010313002,421010313002,73.53
"421010161002, PA",421010161002,421010161002,69.19
"421010388002, PA",421010388002,421010388002,32.39
"421010334003, PA",421010334003,421010334003,70.52
"421010168006, PA",421010168006,421010168006,0
"421010289022, PA",421010289022,421010289022,39.48
"421010318001, PA",421010318001,421010318001,73.56
"421010347022, PA",421010347022,421010347022,9.69
"421010280004, PA",421010280004,421010280004,8.28
"421010086021, PA",421010086021,421010086021,51.3
"421010290002, PA",421010290002,421010290002,59.57
"421010309001, PA",421010309001,421010309001,72.69
"421010363021, PA",421010363021,421010363021,66.32
"421010340003, PA",421010340003,421010340003,27.88
"421010306001, PA",421010306001,421010306001,50.14
"421010305021, PA",421010305021,421010305021,60.79
"421010372002, PA",421010372002,421010372002,42.66
"421010247005, PA",421010247005,421010247005,28.19
"421010087021, PA",421010087021,421010087021,66.26
"421010339001, PA",421010339001,421010339001,52.06
"421010342001, PA",421010342001,421010342001,47.31
"421010310003, PA",421010310003,421010310003,63.83
"421010341002, PA",421010341002,421010341002,32.18
"421010210001, PA",421010210001,421010210001,33.71
"421010111005, PA",421010111005,421010111005,8.95
"421010308002, PA",421010308002,421010308002,63.9
"421010307001, PA",421010307001,421010307001,59.96
"421010102002, PA",421010102002,421010102002,2.1
"421010301002, PA",421010301002,421010301002,48.1
"421010237003, PA",421010237003,421010237003,60.83
"421010290001, PA",421010290001,421010290001,51.21
"421010166001, PA",421010166001,421010166001,43.9
"421010152004, PA",421010152004,421010152004,23.05
"421010363032, PA",421010363032,421010363032,11.06
"421010107002, PA",421010107002,421010107002,33.01
"421010315022, PA",421010315022,421010315022,60.43
